timestamp,event,asset,window,direction,price,pnl,cumulative,cl_open,cl_close
2026-03-09T06:30:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,18.28,67562.08,2026-03-09T06:30:03+00:000
2026-03-09T06:40:03+00:00,WIN,BTC,5m,DOWN,0.97,0.15,18.44,67462.62,2026-03-09T06:40:03+00:000
2026-03-09T06:40:03+00:00,WIN,ETH,5m,DOWN,0.97,0.15,18.59,1997.13,2026-03-09T06:40:03+00:000
2026-03-09T06:40:03+00:00,WIN,SOL,5m,DOWN,0.97,0.15,18.74,83.65,2026-03-09T06:40:03+00:000
2026-03-09T06:45:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,18.95,1993.24,2026-03-09T06:45:03+00:000
2026-03-09T06:45:03+00:00,WIN,SOL,5m,DOWN,0.96,0.21,19.16,83.51,2026-03-09T06:45:03+00:000
2026-03-09T07:10:03+00:00,WIN,ETH,5m,DOWN,0.97,0.15,19.32,1979.84,2026-03-09T07:10:03+00:000
2026-03-09T07:15:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,19.52,1977.52,2026-03-09T07:15:03+00:000
2026-03-09T07:30:03+00:00,WIN,SOL,5m,UP,0.96,0.21,19.73,82.82,2026-03-09T07:30:03+00:000
2026-03-09T07:35:03+00:00,WIN,BTC,5m,UP,0.96,0.21,19.94,67194.59,2026-03-09T07:35:03+00:000
2026-03-09T07:35:03+00:00,WIN,SOL,5m,UP,0.97,0.15,20.1,82.91,2026-03-09T07:35:03+00:000
2026-03-09T07:45:03+00:00,WIN,ETH,5m,UP,0.92,0.43,20.53,1979.3,2026-03-09T07:45:03+00:000
2026-03-09T07:55:03+00:00,WIN,SOL,5m,DOWN,0.93,0.38,20.91,83.23,2026-03-09T07:55:03+00:000
2026-03-09T08:05:03+00:00,WIN,SOL,5m,DOWN,0.93,0.38,21.28,83.15,2026-03-09T08:05:03+00:000
2026-03-09T08:30:03+00:00,WIN,SOL,5m,UP,0.97,0.15,21.44,83.62,2026-03-09T08:30:03+00:000
