ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:30:18.865052453+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773001800,282,1956.64,0.53,0.52,0.01,26,30,52,47,0,0.48,0.47,0.01,30,26,47,52,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:34:33.834210218+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773001800,27,1.36,,,,,,,,,,,,,0,,0,28,,,,,DN,0.099,0.1,EST,0.9687,1.35,1.36,0.2527,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:34:33.834326323+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773001800,27,82.44,,,,,,,,,,,,,0,,0,99,,,,,DN,0.099,0.1,EST,0.9501,82.21,82.43,0.2665,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:34:33.834379193+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773001800,27,67262.28,,,,,,,,,,,,,0,,0,99,,,,,DN,0.049,0.05,EST,0.4795,67056.73,67259.77,0.3028,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:34:33.834409338+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773001800,27,1961.31,,,,,,,,,,,,,0,,0,98,,,,,DN,0.099,0.1,EST,1.0291,1956.56,1961.13,0.2339,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:35:00.080783488+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773001800,0,1.36,,,0.02,,,,,,,,0.02,,,,,,,,,,,0.099,,,1.35,1.36,0.3618,UP,CL,0.99,0,0.3056,0.0545,0.3933,15.4981,115.4981,12,4,,,
2026-03-08T20:35:00.080898731+00:00,R0308_200647,SETTLE,S3,sol,sol-updown-5m-1773001800,0,82.56,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,82.21,82.55,0.4046,UP,CL,0.99,0,0.3088,0.0535,0.7711,15.876,115.876,12,4,,,
2026-03-08T20:35:00.080969858+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773001800,0,67364.01,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.049,,,67056.73,67359.07,0.4509,UP,CL,0.99,0,0.3087,0.0285,0.1222,15.2271,115.2271,12,4,,,
2026-03-08T20:35:00.081040475+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773001800,0,1964.04,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,1956.56,1963.81,0.3706,UP,CL,0.99,0,0.3087,0.058,0.0786,15.1835,115.1835,12,4,,,
2026-03-08T20:35:10.604647595+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773002100,290,67368.92,0.51,0.5,0.01,123.1,24,50,49,0,0.5,0.49,0.01,24,123.1,49,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
